Geneid	CaBR1	CaBR2	CaOLBR1	CaOLBR2	CaMeOH1	CaMeOH2	o2_12_19_br1_1	o2_12_19_br1_2	o2_12_19_br1	o2_12_19_br3_1	o2_12_19_br3_2	o2_12_19_br3	o2_12_19_mc2	o2_12_19_mc2_1	o2_12_19_mc2_2	o2_12_19_mc3_2	o2_12_19_mc3_1	o2_12_19_mc3	no_o2_12_21_br3_2	no_o2_12_21_br3_1	no_o2_12_21_br3	no_o2_12_21_mc11_2	no_o2_12_21_mc11_1	no_o2_12_21_mc11	no_o2_12_21_mc12_2	no_o2_12_21_mc12_1	no_o2_12_21_mc12	no_o2_12_22_br3	no_o2_12_22_br3_1	lowO2_br1	LaBR1	LaBR2	LaOLBR1	LaOLBR2	LaMeOH1	LaMeOH2	br_1	br_2	br_3	br_4	dup_exp_1	dup_exp_2	dup_exp_3	dup_exp_4
MEALZ_RS00060	631	1765	1316	1728	1465	1438	10	186	988	17	144	1658	129	13	1697	70	3	1005	344	35	1316	38	6	241	36	4	206	730	274	206	645	1514	1568	1513	1668	2242	521	499	447	515	185	143	345	273
MEALZ_RS00065	748	2304	1711	2140	3172	3243	14	255	1320	16	189	2092	97	9	1734	74	6	992	249	28	915	43	4	240	32	3	260	738	276	216	642	1336	1847	2159	2758	1755	486	412	363	399	217	204	216	284
MEALZ_RS22475	69	167	115	159	237	219	2	16	103	2	16	142	7	0	134	1	1	88	13	4	73	2	0	13	2	0	21	35	10	11	61	161	159	158	177	153	34	17	23	22	9	7	10	11
MEALZ_RS00075	530	1548	1322	1567	1090	1078	20	171	1045	11	172	1860	62	4	914	57	1	563	139	16	572	37	2	303	18	4	279	389	107	61	493	903	1482	1522	1521	1780	393	332	252	343	171	172	139	107
MEALZ_RS00080	25	79	71	53	39	49	1	13	59	0	6	119	2	2	49	2	0	31	11	0	30	1	0	13	5	0	10	25	8	6	50	94	55	69	63	93	13	14	12	14	13	6	11	8
MEALZ_RS00085	45	81	94	87	43	33	1	13	49	0	13	123	3	0	85	5	0	69	12	1	40	7	0	18	1	0	30	20	10	4	57	114	103	94	70	160	12	14	10	19	13	13	12	10
MEALZ_RS00095	172	391	323	466	390	393	7	80	514	6	60	798	38	5	452	16	0	167	111	11	420	8	1	75	7	1	59	173	61	42	174	378	473	368	415	422	128	100	78	145	84	59	112	61
MEALZ_RS00100	405	1073	802	974	557	489	28	308	1362	25	240	1974	78	9	950	59	3	527	134	18	442	12	2	67	13	0	77	276	121	85	354	660	1033	876	590	489	435	427	355	445	308	240	134	121
MEALZ_RS00105	361	1134	955	1107	778	722	19	199	1067	13	160	1859	111	10	1782	70	1	812	138	14	458	31	3	124	24	0	201	318	129	70	331	627	1074	1013	937	1052	339	298	231	336	199	160	138	129
MEALZ_RS00110	360	1131	904	1104	980	1070	12	181	857	7	125	1258	488	41	6240	473	30	4863	259	30	864	76	3	236	94	8	586	766	294	213	331	668	1099	1196	1143	1397	292	271	272	303	181	125	259	294
MEALZ_RS00115	425	996	776	981	612	628	17	158	812	13	163	1425	23	7	463	12	4	167	61	8	211	7	0	41	4	0	38	155	71	78	293	627	1030	992	683	492	146	101	87	168	158	163	61	71
MEALZ_RS00120	1063	2386	1763	2456	1811	1931	37	348	1648	17	292	2991	63	8	974	26	2	408	142	13	449	12	0	79	9	0	73	456	183	194	783	1579	2512	2697	1549	570	332	305	278	424	348	292	142	183
MEALZ_RS00125	618	1364	1315	1761	553	473	43	562	2155	48	516	3392	97	6	933	51	2	441	216	26	558	9	2	54	9	0	42	307	103	147	368	785	1685	1368	1000	1268	383	267	283	547	562	516	216	103
MEALZ_RS00130	1832	4167	3556	4295	2863	2527	76	955	3756	61	689	6710	158	15	2103	95	4	976	326	33	1276	7	2	67	6	0	70	696	296	333	1853	3383	4348	3817	4305	4182	715	477	409	1079	955	689	326	296
MEALZ_RS00135	1812	4724	4320	5447	7587	8582	32	362	1716	27	296	3036	154	27	1993	120	6	1418	581	55	1940	29	0	235	22	2	214	1835	774	915	1644	3421	5254	6066	5252	7680	1886	1141	1121	1779	362	296	581	774
MEALZ_RS00140	1833	4881	4958	6248	8902	10831	31	387	1895	24	306	2782	92	14	1295	57	5	742	399	49	1205	44	1	176	16	1	147	1902	798	954	1471	3500	6682	6996	4746	6168	1256	881	919	1000	387	306	399	798
MEALZ_RS00145	127	330	346	398	1033	1087	3	25	156	0	25	234	10	0	180	8	0	106	50	3	172	4	0	32	3	1	27	88	29	39	145	281	365	348	627	777	58	33	45	63	25	25	50	29
MEALZ_RS20495	223	721	659	911	2109	2495	9	93	421	7	88	745	25	3	455	23	2	382	85	12	306	49	4	188	37	4	230	216	77	57	272	493	893	1060	1122	1174	207	179	154	176	93	88	85	77
MEALZ_RS20500	157	496	379	440	1879	2281	12	47	226	1	31	300	22	3	368	22	1	207	83	7	229	16	1	74	6	1	69	181	88	63	180	403	365	480	965	1153	126	69	76	104	47	31	83	88
MEALZ_RS00160	45	94	86	119	422	532	1	10	56	1	8	101	7	1	133	6	0	97	16	5	88	7	1	31	7	0	33	56	21	26	66	127	115	124	226	327	19	23	17	16	10	8	16	21
MEALZ_RS00165	254	665	475	567	3613	4383	3	35	256	3	38	361	42	1	471	28	3	352	125	6	361	20	2	135	14	0	127	286	124	149	373	804	543	698	1525	1315	118	76	87	94	35	38	125	124
MEALZ_RS00170	70	247	183	243	1157	1508	1	15	85	2	11	121	9	1	155	8	1	108	44	0	140	8	0	26	1	0	27	95	38	50	159	299	198	244	590	396	40	38	33	33	15	11	44	38
MEALZ_RS21255	775	2151	1602	2202	8510	14935	5	113	465	3	69	868	236	23	2919	177	14	2125	899	79	3330	174	11	613	114	19	730	1278	553	1441	712	2117	2091	3163	5651	15341	622	439	484	530	110	72	899	552
MEALZ_RS00180	64	251	199	208	516	614	3	19	96	0	16	152	63	6	602	44	3	483	99	9	371	36	3	150	21	3	152	171	70	118	105	226	169	211	393	388	87	73	64	91	22	13	99	71
MEALZ_RS22480	273	768	597	749	945	963	6	100	549	7	86	1005	20	1	334	26	0	220	94	8	313	40	1	179	15	8	161	277	109	74	242	506	398	458	642	524	253	131	120	194	100	88	92	109
MEALZ_RS00190	268	671	540	711	329	330	9	93	432	7	59	750	39	3	562	43	3	438	88	15	380	31	3	209	29	1	187	242	89	28	384	682	695	647	489	667	147	119	107	128	93	59	88	89
MEALZ_RS23265	19	51	51	63	27	32	3	20	113	3	17	192	9	1	153	4	0	112	14	2	45	10	0	51	4	1	61	38	7	4	43	80	51	52	61	74	24	17	13	18	18	13	12	8
MEALZ_RS00200	57	129	90	177	82	52	3	46	196	1	44	467	28	3	243	16	1	224	32	3	104	16	0	67	9	1	66	73	25	12	48	114	176	160	111	186	107	57	66	81	46	44	32	25
MEALZ_RS00205	77	259	268	259	183	168	1	43	233	1	44	414	23	3	344	21	0	258	43	1	125	13	3	60	8	4	65	81	29	15	88	153	222	252	357	676	110	97	90	112	43	44	43	29
MEALZ_RS00210	137	334	280	377	165	203	1	41	259	1	31	521	16	4	270	5	0	165	50	6	203	16	1	85	8	2	58	110	31	15	150	385	350	402	293	512	96	44	41	82	41	31	50	31
MEALZ_RS00215	28	63	67	82	64	86	2	5	61	2	6	107	2	0	84	3	0	55	13	0	49	3	0	21	0	1	21	29	6	8	55	103	77	76	100	157	39	14	26	24	5	6	14	8
MEALZ_RS00220	45	170	154	186	199	173	4	10	70	1	8	148	4	0	114	4	0	67	14	4	81	7	0	22	2	1	23	38	17	15	61	152	183	181	249	574	47	31	35	38	10	8	13	15
MEALZ_RS00225	405	1299	936	1193	2884	2771	12	124	578	10	100	983	50	8	634	39	3	445	225	16	594	29	0	260	21	2	169	518	240	158	510	1116	1061	1257	2157	3064	406	422	373	348	124	100	225	240
MEALZ_RS00230	491	1052	818	1200	1553	1456	9	117	519	6	69	796	51	3	607	32	1	421	158	26	647	24	2	125	23	1	93	282	128	73	439	884	1108	1085	1535	1499	428	310	308	390	117	69	158	128
MEALZ_RS23670	10	49	53	81	16	31	2	29	309	2	27	483	15	1	380	11	0	292	32	4	126	13	2	62	6	0	61	76	14	11	42	89	91	98	23	49	60	37	39	68	32	32	35	22
MEALZ_RS00235	97	314	255	325	367	319	4	47	224	2	35	418	18	0	303	16	0	206	30	4	137	12	0	95	8	1	86	131	42	36	113	254	299	327	275	238	64	57	36	42	47	35	30	42
MEALZ_RS00240	271	776	585	749	599	613	12	100	569	9	80	1020	35	5	540	17	3	394	100	6	357	17	3	204	21	1	154	236	71	43	287	586	664	671	741	840	188	170	127	153	100	80	100	71
MEALZ_RS20505	319	812	586	815	611	584	10	120	580	6	94	956	35	2	513	24	1	277	111	11	432	28	3	146	6	4	105	208	82	45	318	651	507	596	754	886	225	198	163	203	120	94	111	82
MEALZ_RS00250	222	497	285	471	503	424	4	55	291	7	48	453	30	3	354	13	0	145	61	6	187	8	0	70	3	1	54	103	48	34	260	507	451	485	501	464	131	115	113	134	55	48	61	48
MEALZ_RS00255	851	2385	1450	1928	5478	4316	22	267	1295	23	184	2163	198	17	2855	146	14	1892	457	47	1569	75	5	529	64	4	533	1208	474	262	1166	2270	1792	1894	3601	3634	1147	1025	978	901	267	184	457	474
MEALZ_RS00260	66	214	142	176	189	205	3	33	196	2	28	329	47	5	681	25	1	359	105	8	425	5	0	22	3	0	34	278	99	47	70	199	137	148	289	355	156	143	128	170	33	28	105	99
MEALZ_RS00265	370	1066	738	862	1006	950	20	167	725	13	115	1248	76	8	1452	57	3	694	234	30	768	21	1	154	20	1	138	609	271	132	443	956	818	853	1155	1458	462	341	338	410	167	115	234	271
MEALZ_RS00270	302	751	518	747	556	465	6	84	460	3	49	707	37	2	418	16	0	165	87	10	297	8	0	56	4	1	46	162	79	65	293	683	729	688	625	535	184	147	142	211	84	49	87	79
MEALZ_RS00275	221	543	371	580	317	279	9	126	486	13	104	802	50	3	345	29	1	220	69	7	204	13	1	56	12	0	49	169	84	63	199	472	656	528	274	293	184	164	135	209	126	104	69	84
MEALZ_RS00280	433	1009	823	938	607	471	12	157	690	9	107	877	46	4	395	19	2	186	48	4	187	18	1	76	5	0	62	122	58	60	528	1119	976	869	679	917	250	206	199	196	157	107	48	58
MEALZ_RS00285	204	664	572	662	403	406	16	207	698	14	132	1320	22	3	280	15	0	152	27	2	131	7	2	25	2	0	17	51	46	39	311	687	638	650	647	1285	143	112	117	184	207	132	27	46
MEALZ_RS00290	164	526	426	561	372	360	12	147	643	8	101	1256	25	1	270	6	1	163	28	4	119	4	1	31	3	1	39	74	32	29	184	424	525	453	488	814	159	97	85	108	147	101	28	32
MEALZ_RS00295	116	404	427	478	282	296	14	110	533	8	59	855	20	1	216	12	1	121	25	5	124	4	0	31	5	1	17	41	22	19	191	432	468	476	583	1134	127	96	82	99	110	59	25	22
MEALZ_RS00300	396	1173	872	1208	900	845	24	286	1204	27	216	1716	75	13	873	49	4	549	122	12	466	70	2	277	41	7	357	315	142	69	420	802	1146	1125	967	1127	386	286	239	323	286	216	122	142
MEALZ_RS00305	440	1432	1072	1400	1309	1250	14	302	1290	16	238	2135	49	9	696	30	2	347	126	12	412	22	1	108	7	0	85	251	108	73	388	924	1321	1336	1394	1355	365	210	221	262	302	238	126	108
MEALZ_RS00310	186	540	425	548	400	341	5	144	539	7	91	854	14	2	258	12	0	110	25	6	147	6	0	49	5	0	44	70	24	19	259	413	534	487	463	411	114	81	62	108	144	91	25	24
MEALZ_RS00315	416	998	801	1058	799	624	20	202	804	19	171	854	32	1	405	34	4	221	82	7	215	37	3	118	25	2	127	152	105	59	506	1048	1085	1006	833	905	254	141	162	186	202	171	82	105
MEALZ_RS00320	472	1470	1139	1464	1395	1258	30	278	1255	10	229	1514	47	5	653	34	3	353	139	10	440	28	2	184	21	1	157	289	142	74	585	1129	1379	1368	1317	1267	464	297	236	335	278	229	139	142
MEALZ_RS00325	563	1550	1139	1496	1165	1072	17	287	1045	23	216	1731	54	8	638	42	2	413	150	14	376	33	4	202	22	1	185	291	123	90	511	1156	1393	1326	1260	1427	453	277	266	355	287	216	150	123
MEALZ_RS00330	354	953	711	897	743	616	11	162	666	9	108	711	44	4	324	21	4	183	82	14	203	25	1	127	19	1	102	168	71	46	542	1331	875	828	678	632	316	165	188	211	162	108	82	71
MEALZ_RS00335	427	1224	932	1191	1288	1177	13	192	893	10	168	1394	43	6	534	22	0	312	135	14	364	24	4	152	16	1	109	239	110	79	475	984	1131	1099	1235	1211	409	235	201	281	192	168	135	110
MEALZ_RS00340	1009	2686	1882	2412	1715	1500	36	374	1728	27	314	2958	77	5	1107	48	3	598	277	31	1085	41	4	250	20	3	173	534	190	92	1190	2360	2421	2254	2174	2619	797	482	480	709	374	314	277	190
MEALZ_RS00350	426	1282	1168	1452	1096	958	20	239	1154	23	196	1766	89	11	1123	57	7	557	127	10	426	22	2	107	13	1	117	251	77	84	426	795	1362	1355	1237	1501	399	245	179	362	239	196	127	77
MEALZ_RS00355	489	1258	1237	1554	820	814	28	315	1610	19	275	2532	99	7	1423	54	5	736	223	16	854	12	1	82	8	1	105	347	145	116	366	792	1470	1328	1170	1631	547	379	344	552	315	275	223	145
MEALZ_RS00360	601	1709	1578	1841	1483	1366	29	248	1327	19	168	2297	89	16	1599	58	6	845	223	22	834	11	1	80	6	0	97	438	178	165	552	1135	1676	1679	2032	2402	461	315	338	446	248	168	223	178
MEALZ_RS00365	2156	5754	4912	6109	4664	4265	113	1373	7280	96	1162	12205	232	25	3510	91	12	1574	392	46	1453	23	1	177	16	3	205	1355	486	470	1632	3201	6070	5529	4795	4997	1148	954	908	963	1373	1162	392	486
MEALZ_RS00370	1182	3035	2482	3048	2092	2176	52	592	3513	54	519	6374	129	10	2330	73	6	1135	242	29	1153	24	2	157	23	2	163	705	256	180	1114	1961	3174	2860	2912	2369	668	600	581	680	592	519	242	256
MEALZ_RS00375	1208	3105	2549	3108	2363	1922	46	540	2688	37	475	4510	121	14	1467	40	2	530	159	10	527	16	1	62	12	1	88	392	177	162	835	1719	3033	2759	2677	1518	514	515	496	582	540	475	159	177
MEALZ_RS00380	2217	5553	4271	5120	3837	3261	99	1205	5520	58	900	6064	127	14	1808	67	5	580	157	19	424	20	1	94	14	2	98	614	243	281	1487	3141	5298	5084	4336	2340	674	604	562	627	1205	900	157	243
MEALZ_RS00385	1133	3535	2874	3361	2307	1962	60	639	3331	40	537	4470	86	6	1285	48	5	450	89	10	258	15	2	73	9	1	70	350	127	133	845	1681	3366	3166	2722	2130	388	374	412	270	639	537	89	127
MEALZ_RS00390	464	1263	964	1192	746	695	25	253	1233	18	231	1708	50	4	527	30	3	244	46	5	115	13	2	43	6	0	55	152	58	39	391	688	1157	1040	1043	953	157	194	201	132	253	231	46	58
MEALZ_RS00395	365	828	530	841	398	334	16	223	899	11	180	1265	68	8	742	51	2	474	55	5	132	7	0	38	15	1	83	92	52	36	357	639	947	717	681	1182	149	145	174	110	223	180	55	52
MEALZ_RS00400	292	716	625	893	561	522	10	143	767	10	126	960	57	7	644	33	0	291	30	2	87	10	1	32	4	0	52	113	47	37	302	681	922	730	667	980	121	107	117	99	143	126	30	47
MEALZ_RS00405	270	710	610	813	384	341	7	147	965	9	115	1527	39	3	813	33	0	391	22	3	122	7	0	39	9	0	63	112	42	27	270	581	829	761	559	845	99	116	113	133	147	115	22	42
MEALZ_RS00410	399	1024	880	1104	826	836	23	193	1149	9	165	1835	79	11	1227	38	2	559	83	10	274	14	0	101	13	1	119	216	82	69	425	842	1220	963	1009	1486	238	197	238	235	193	165	83	82
MEALZ_RS00415	183	451	426	520	464	457	5	96	452	5	71	678	24	5	533	7	1	160	44	5	174	4	0	42	6	0	56	102	46	36	208	385	528	437	481	616	155	103	110	173	96	71	44	46
MEALZ_RS00420	288	775	604	816	357	246	12	133	599	6	130	777	28	6	389	14	1	161	46	3	118	12	0	69	10	0	66	89	45	50	306	626	752	675	451	505	130	105	113	128	133	130	46	45
MEALZ_RS00425	479	1434	1043	1428	1368	1280	12	167	977	9	157	1680	55	3	630	26	1	272	109	13	436	9	0	66	13	1	73	283	94	73	479	988	1352	1216	1752	2538	505	389	447	454	167	157	109	94
MEALZ_RS00430	334	1031	836	1054	1090	1121	13	168	847	6	104	1464	50	5	696	32	2	373	94	15	410	10	0	78	14	0	93	233	96	73	312	678	961	999	1597	2266	281	227	221	304	168	104	94	96
MEALZ_RS00435	213	590	393	605	557	514	18	157	750	11	111	1343	47	6	576	29	2	421	87	6	342	19	1	115	16	1	119	260	109	61	245	466	563	518	625	758	246	166	173	288	157	111	87	109
MEALZ_RS00440	313	833	626	876	789	659	17	141	613	10	135	629	69	11	514	49	3	284	94	17	203	44	1	107	19	3	98	221	107	95	269	669	799	782	758	799	269	207	241	289	141	135	94	107
MEALZ_RS00445	757	1938	1567	1994	2162	1964	14	249	1303	18	216	2078	100	12	1509	52	5	734	211	21	854	43	1	218	35	4	213	524	206	160	684	1280	1950	1940	2235	2033	631	528	500	537	249	216	211	206
MEALZ_RS00450	1622	3475	2362	3685	1764	1388	82	961	3823	35	618	5938	113	6	1585	38	4	545	235	29	712	8	0	46	14	1	72	387	188	283	906	1934	3864	2910	2083	2523	896	733	685	1060	961	618	235	188
MEALZ_RS00455	1927	5161	3936	4816	2071	1859	120	1624	7498	113	1248	11483	227	22	2762	97	5	1039	360	38	1203	24	3	80	27	3	129	936	369	557	1157	2310	4896	3792	3304	4574	1550	1207	1157	2111	1624	1248	360	369
MEALZ_RS00460	1711	4917	3904	4799	2893	2626	55	883	3528	59	684	4060	150	14	1470	76	7	555	268	26	694	34	0	169	40	3	225	583	296	317	1495	2884	4942	3952	3501	3542	1229	981	1035	1232	883	684	268	296
MEALZ_RS00465	5094	13583	11142	14239	9047	8807	265	3097	14398	231	2497	25768	451	53	6869	296	23	3594	1060	128	3864	104	4	502	72	10	624	2759	1024	1019	3420	6752	15052	12024	9966	11640	5294	3712	3938	5286	3097	2497	1060	1024
MEALZ_RS00470	295	558	384	503	406	308	5	108	629	5	92	1045	20	2	324	9	1	174	49	4	242	4	0	17	1	0	25	119	31	37	192	410	521	466	358	233	107	110	81	127	108	92	49	31
MEALZ_RS00475	3940	9903	8376	10215	10750	9548	214	2543	14505	180	1994	24989	254	20	5360	162	12	2653	444	39	1898	26	4	166	26	2	224	2049	712	675	3095	5557	10460	9607	8520	5451	1684	1454	1393	1642	2543	1994	444	712
MEALZ_RS00480	3313	8903	8142	8911	8822	7526	202	2275	13246	140	1945	23193	254	28	4740	124	13	2185	269	29	1262	41	3	217	20	2	193	1665	538	425	2507	4520	9158	8618	7184	5931	1169	1238	1295	958	2275	1945	269	538
MEALZ_RS00485	994	3037	2746	3104	2608	2400	65	658	3644	35	542	6256	75	13	1569	45	1	632	102	7	380	23	1	137	8	1	99	421	131	131	772	1516	3237	2840	2315	2740	402	505	473	292	658	542	102	131
MEALZ_RS00490	199	423	313	447	230	203	9	119	395	8	61	398	17	0	157	6	1	65	30	5	55	20	2	77	9	1	81	71	25	11	206	391	545	374	204	213	68	56	68	51	119	61	30	25
MEALZ_RS00495	289	671	545	714	629	691	8	118	493	4	82	586	39	4	371	16	0	101	91	11	260	7	1	102	8	1	71	147	62	50	375	758	783	629	783	656	190	113	99	166	118	82	91	62
MEALZ_RS00500	643	1533	1137	1601	1561	1625	19	193	941	14	121	1513	83	9	1226	51	7	606	255	24	988	20	0	92	9	1	84	426	150	158	615	1284	1696	1592	1744	1453	577	435	450	622	193	121	255	150
MEALZ_RS00505	463	1130	879	1176	1479	1380	14	166	895	16	143	1464	88	7	1304	65	8	773	160	18	637	112	9	517	78	7	512	392	161	101	455	933	1049	1055	1572	1846	446	314	250	427	166	143	160	161
MEALZ_RS00510	228	683	604	668	593	545	6	81	323	5	64	397	37	4	411	20	3	219	103	9	214	16	3	105	14	0	77	170	79	65	490	954	601	675	477	456	221	121	155	158	81	64	103	79
MEALZ_RS00515	3439	8625	6700	8588	7397	6691	117	1436	6838	99	1071	9321	494	31	6546	382	28	4325	525	56	1527	119	7	491	98	16	592	1685	684	665	2704	5082	8706	7831	5876	3424	2335	1820	1857	2169	1436	1071	525	684
MEALZ_RS00520	1206	3843	3249	3785	3399	3171	50	574	2933	43	460	3830	103	11	1596	70	5	731	108	12	426	26	0	197	31	2	210	569	216	200	940	1824	3926	3466	2829	1387	416	348	380	330	574	460	108	216
MEALZ_RS00525	255	770	745	871	582	562	10	104	737	9	102	1198	31	3	440	9	2	214	53	4	189	7	0	43	7	0	38	160	52	19	202	399	882	851	763	1062	143	121	120	134	104	102	53	52
MEALZ_RS00530	2551	6251	4420	5691	7172	6072	63	894	4203	59	639	6982	228	24	2466	171	19	1432	443	50	1584	51	4	231	51	3	289	1144	472	417	2135	4772	5840	5198	5445	3651	1576	1224	1142	1721	894	639	443	472
MEALZ_RS00540	6885	20604	24850	28498	3771	3651	140	1592	7862	89	1086	14629	1307	129	20788	879	67	14451	1030	116	5097	150	10	902	141	13	1182	4130	1309	1356	5156	11532	26525	26859	7061	14166	4977	4491	4737	4918	1592	1086	1030	1309
MEALZ_RS00545	7526	19926	16607	19576	8427	7947	121	1518	6753	101	1130	9052	1124	115	13484	687	43	7442	1205	138	3865	283	16	952	248	24	1246	3399	1564	1118	6636	14060	19176	18480	8872	11195	5376	4928	4595	4376	1518	1130	1205	1564
MEALZ_RS00555	346	945	659	838	358	270	16	184	697	11	135	628	41	5	289	21	2	140	69	5	80	22	0	87	13	1	88	136	88	52	346	665	842	706	329	257	239	151	136	177	185	135	69	89
MEALZ_RS00560	890	2584	1850	2479	1604	1379	34	502	1781	28	378	1600	109	6	780	56	2	405	175	19	295	73	6	272	54	5	355	380	234	127	829	1699	2339	2148	1337	1090	678	436	407	547	502	378	175	234
MEALZ_RS00565	547	1724	1388	1762	1923	1704	45	503	1857	26	311	2159	67	12	639	41	6	301	114	15	281	14	0	65	10	0	85	335	151	116	558	1116	1564	1439	1356	1285	411	225	236	336	503	311	114	151
MEALZ_RS00570	1373	3680	2915	3464	2773	2480	63	762	2625	47	543	2878	180	19	1409	127	8	746	313	47	654	58	0	221	45	5	221	601	376	192	1517	3231	3520	3154	2894	3889	1122	690	687	878	762	543	313	376
MEALZ_RS00575	299616	21652	4366	332125	1092	10681	1758626	20440287	1145	1397554	15822783	866	14650050	1440627	1751	16777006	1145181	1554	15075163	1541454	501	20609494	1550580	1741	15153887	1506296	17877	168578	11023979	11988838	219143	91445	106411	5149	5349	13911	28669211	27831681	27783530	24220423	20427408	15811933	15073037	11036613
MEALZ_RS00580	427	648	502	1065	97	80	107	1238	4175	74	888	5567	138	14	872	73	6	374	223	25	247	20	1	38	17	2	53	290	201	122	137	216	1003	548	203	642	1025	912	785	1410	1226	898	224	211
MEALZ_RS00585	325	1068	1153	1624	293	257	40	513	2269	39	439	4289	63	5	698	19	3	321	73	4	225	7	1	29	5	0	51	241	78	56	161	299	1499	1235	504	916	340	221	220	459	512	433	76	84
MEALZ_RS00590	946342	100741	14204	805104	4238	24072	2092756	24364526	36510	1575782	17829107	11375	23134378	2279667	32488	22727252	1553895	15852	22212883	2297603	8735	30862181	2303762	8346	22848718	2280699	55188	477732	18193554	20771909	819883	366028	397147	26759	13268	50192	38473725	39625229	40803974	32990728	24372823	17832310	22216198	18202655
MEALZ_RS00595	70	72	55	106	20	28	832	9370	116	751	7934	113	5411	533	41	3749	256	17	8511	895	13	5218	369	19	3172	310	26	41	1992	4074	131	105	89	78	42	19	6243	6660	3292	9263	9461	7963	8619	2056
MEALZ_RS00600	444	1306	1005	1300	998	937	26	254	928	22	187	1571	145	12	1696	125	6	1242	131	18	463	60	11	312	46	4	289	304	111	112	613	1291	1227	1269	1086	1122	374	308	241	330	254	187	131	111
MEALZ_RS00605	487	1047	816	1033	1063	969	9	192	794	7	139	999	128	6	1306	90	12	884	135	11	375	72	6	258	46	5	269	280	133	100	531	1052	1014	1044	1086	919	245	200	170	236	192	139	135	133
MEALZ_RS00610	663	1532	1187	1471	1106	1042	28	375	908	19	275	895	163	14	799	98	9	493	229	17	359	59	6	165	37	3	193	311	206	121	698	1409	1510	1505	1321	1653	422	335	332	354	375	275	229	206
MEALZ_RS00615	365	787	582	835	699	589	13	143	595	6	111	933	61	7	673	33	4	426	96	6	325	13	3	68	8	2	93	231	104	35	368	748	795	730	826	1278	174	161	123	169	143	111	96	104
MEALZ_RS00620	204	519	377	449	43536	36044	3	88	432	9	63	734	22	2	318	17	0	179	117	13	531	8	1	59	5	1	49	371	137	779	186	366	356	430	27603	26168	61	48	49	56	88	63	117	137
MEALZ_RS00625	565	1648	1407	1716	42965	35771	23	249	1195	20	192	2073	65	3	918	40	3	551	239	24	1072	29	2	174	13	1	160	745	266	436	559	1182	1504	1605	34233	29412	253	184	140	243	249	192	239	266
